LabelName,LabelColor_Red,LabelColor_Green,LabelColor_Blue
building_wall,95,128,185
building_floor,60,114,221
building_ceiling,20,57,120
building_door,38,20,159
furniture_doubleBed,148,195,54
furniture_armchair,189,200,35
furniture_nightTable,53,140,0
furniture_tvStand,118,164,19
furniture_shelf,90,231,147
furniture_commode,95,190,87
furniture_rug,13,128,58
furniture_drawer,221,189,99
furniture_painting,137,253,213
furniture_clock,99,200,108
furniture_floor_lamp,64,125,82
items_nightLamp,132,0,60
items_vase,180,0,93
items_bowl,128,3,58
items_mug,106,11,93
items_plate,156,93,82
items_tv,185,80,80
items_phone,177,76,178
live_dog,255,221,0

